"Line" "Population" "Treatment" "Setup" "Sex" "Embryo" "Total_Flies" "Dates" "Counts"
"286" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.25" 0
"287" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.26" 0
"288" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.27" 0
"289" 11 "9C" "10mM" "2021-12-01" "M" 25 8 "X2021.12.28" 0
"290" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.12" 0
"291" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.13" 0
"292" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.14" 0
"293" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.15" 0
"294" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.16" 5
"295" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.17" 0
"296" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.18" 0
"297" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.19" 0
"298" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.20" 0
"299" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.21" 0
"300" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.22" 0
"301" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.23" 0
"302" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.24" 0
"303" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.25" 0
"304" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.26" 0
"305" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.27" 0
"306" 11 "9C" "10mM" "2021-12-01" "F" 25 5 "X2021.12.28" 0
"307" 12 "9C" "10mM" "2021-12-01" "M" 25 10 "X2021.12.12" 0
"308" 12 "9C" "10mM" "2021-12-01" "M" 25 10 "X2021.12.13" 0
"309" 12 "9C" "10mM" "2021-12-01" "M" 25 10 "X2021.12.14" 0
"310" 12 "9C" "10mM" "2021-12-01" "M" 25 10 "X2021.12.15" 0
"311" 12 "9C" "10mM" "2021-12-01" "M" 25 10 "X2021.12.16" 1
"312" 12 "9C" "10mM" "2021-12-01" "M" 25 10 "X2021.12.17" 3
"313" 12 "9C" "10mM" "2021-12-01" "M" 25 10 "X2021.12.18" 0
"314" 12 "9C" "10mM" "2021-12-01" "M" 25 10 "X2021.12.19" 1
"315" 12 "9C" "10mM" "2021-12-01" "M" 25 10 "X2021.12.20" 2
"316" 12 "9C" "10mM" "2021-12-01" "M" 25 10 "X2021.12.21" 1
"317" 12 "9C" "10mM" "2021-12-01" "M" 25 10 "X2021.12.22" 1
"318" 12 "9C" "10mM" "2021-12-01" "M" 25 10 "X2021.12.23" 1
